---,X,Y,Z,VX,VY,VZ,pitch,yaw,roll,bisBridgeOut
Player State371,"-15","-5","13","0","0","0","0","0","0","False"
Player State372,"-15","-5","13","0","0","0","0","0","0","False"
Player State373,"-15","-5","13","0","0","0","0","0","0","False"
Player State374,"-15","-5","13","0","0","0","0","0","0","False"
Player State375,"-15","-5","13","0","0","0","0","0","0","False"
Player State376,"-15","-5","13","0","0","0","0","0","0","False"
Player State377,"-15","-5","13","0","0","0","0","0","0","False"
Player State378,"-15","-5","13","0","0","0","0","0","0","False"
Player State379,"-15","-5","13","0","0","0","0","0","0","False"
Player State380,"-15","-5","13","0","0","0","0","0","0","False"
Player State381,"-15","-5","13","0","0","0","0","0","0","False"
Player State382,"-15","-5","13","0","0","0","0","0","0","False"
Player State383,"-15","-5","13","0","0","0","0","0","0","False"
Player State384,"-15","-5","13","0","0","0","0","0","0","False"
Player State385,"-15","-5","13","0","0","0","0","0","0","False"
Player State386,"-15","-5","13","0","0","0","0","0","0","False"
Player State387,"-15","-5","13","0","0","0","0","0","0","False"
Player State388,"-15","-5","13","0","0","0","0","0","0","False"
Player State389,"-15","-5","13","0","0","0","0","0","0","False"
Player State390,"-15","-5","13","0","0","0","0","0","0","False"
Player State391,"-15","-5","13","0","0","0","0","0","0","False"
Player State392,"-15","-5","13","0","0","0","0","0","0","False"
Player State393,"-15","-5","13","0","0","0","0","0","0","False"
Player State394,"-15","-5","13","0","0","0","0","0","0","False"
Player State395,"-15","-5","13","0","0","0","0","0","0","False"
Player State396,"-15","-5","13","0","0","0","0","0","0","False"
Player State397,"-15","-5","13","0","0","0","0","0","0","False"
Player State398,"-15","-5","13","0","0","0","0","0","0","False"
Player State399,"-15","-5","13","0","0","0","0","0","0","False"
Player State400,"-15","-5","13","0","0","0","0","0","0","False"
Player State401,"-15","-5","13","0","0","0","0","0","0","False"
Player State402,"-15","-5","13","0","0","0","0","0","0","False"
Player State403,"-15","-5","13","0","0","0","0","0","0","False"
Player State404,"-15","-5","13","0","0","0","0","0","0","False"
Player State405,"-15","-5","13","0","0","0","0","0","0","False"
Player State406,"-15","-5","13","0","0","0","0","0","0","False"
Player State407,"-15","-5","13","0","0","0","0","0","0","False"
Player State408,"-15","-5","13","0","0","0","0","0","0","False"
Player State409,"-15","-5","13","0","0","0","0","0","0","False"
Player State410,"-15","-5","13","0","0","0","0","0","0","False"
Player State411,"-15","-5","13","0","0","0","0","0","0","False"
Player State412,"-15","-5","13","0","0","0","0","0","0","False"
Player State413,"-15","-5","13","0","0","0","0","0","0","False"
Player State414,"-15","-5","13","0","0","0","0","0","0","False"
Player State415,"-15","-5","13","0","0","0","0","0","0","False"
Player State416,"-15","-5","13","0","0","0","0","0","0","False"
Player State417,"-15","-5","13","0","0","0","0","0","0","False"
Player State418,"-15","-5","13","0","0","0","0","0","0","False"
Player State419,"-15","-5","13","0","0","0","0","0","0","False"
Player State420,"-15","-5","13","0","0","0","0","0","0","False"
Player State421,"-15","-5","13","0","0","0","0","0","0","False"
Player State422,"-15","-5","13","0","0","0","0","0","0","False"
Player State423,"-15","-5","13","0","0","0","0","0","0","False"
Player State424,"-15","-5","13","0","0","0","0","0","0","False"
Player State425,"-15","-5","13","0","0","0","0","0","0","False"
Player State426,"-15","-5","13","0","0","0","0","0","0","False"
Player State427,"-15","-5","13","0","0","0","0","0","0","False"
Player State428,"-15","-5","13","0","0","0","0","0","0","False"
Player State429,"-15","-5","13","0","0","0","0","0","0","False"
Player State430,"-15","-5","13","0","0","0","0","0","0","False"
Player State431,"-15","-5","13","0","0","0","0","0","0","False"
Player State432,"-15","-5","13","0","0","0","0","0","0","False"
Player State433,"-15","-5","13","0","0","0","0","0","0","False"
Player State434,"-15","-5","13","0","0","0","0","0","0","False"
Player State435,"-15","-5","13","0","0","0","0","0","0","False"
Player State436,"-15","-5","13","0","0","0","0","0","0","False"
Player State437,"-15","-5","13","0","0","0","0","0","0","False"
Player State438,"-15","-5","13","0","0","0","0","0","0","False"
Player State439,"-15","-5","13","0","0","0","0","0","0","False"
Player State440,"-15","-5","13","0","0","0","0","0","0","False"
Player State441,"-15","-5","13","0","0","0","0","0","0","False"
Player State442,"-15","-5","13","0","0","0","0","0","0","False"
Player State443,"-15","-5","13","0","0","0","0","0","0","False"
Player State444,"-15","-5","13","0","0","0","0","0","0","False"
Player State445,"-15","-5","13","0","0","0","0","0","0","False"
Player State446,"-15","-5","13","0","0","0","0","0","0","False"
Player State447,"-15","-5","13","0","0","0","0","0","0","False"
Player State448,"-15","-5","13","0","0","0","0","0","0","False"
Player State449,"-15","-5","13","0","0","0","0","0","0","False"
Player State450,"-15","-5","13","0","0","0","0","0","0","False"
Player State451,"-15","-5","13","0","0","0","0","0","0","False"
Player State452,"-15","-5","13","0","0","0","0","0","0","False"
Player State453,"-15","-5","13","0","0","0","0","0","0","False"
Player State454,"-15","-5","13","0","0","0","0","0","0","False"
Player State455,"-15","-5","13","0","0","0","0","0","0","False"
Player State456,"-15","-5","13","0","0","0","0","0","0","False"
Player State457,"-15","-5","13","0","0","0","0","0","0","False"
Player State458,"-15","-5","13","0","0","0","0","0","0","False"
Player State459,"-15","-5","13","0","0","0","0","0","0","False"
Player State460,"-15","-5","13","0","0","0","0","0","0","False"
Player State461,"-15","-5","13","0","0","0","0","0","0","False"
Player State462,"-15","-5","13","0","0","0","0","0","0","False"
Player State463,"-15","-5","13","0","0","0","0","0","0","False"
Player State464,"-15","-5","13","0","0","0","0","0","0","False"
Player State465,"-15","-5","13","0","0","0","0","0","0","False"
Player State466,"-15","-5","13","0","0","0","0","0","0","False"
Player State467,"-15","-5","13","0","0","0","0","0","0","False"
Player State468,"-15","-5","13","0","0","0","0","0","0","False"
Player State469,"-15","-5","13","0","0","0","0","0","0","False"
Player State470,"-15","-5","13","0","0","0","0","0","0","False"
Player State471,"-15","-5","13","0","0","0","0","0","0","False"
Player State472,"-15","-5","13","0","0","0","0","0","0","False"
Player State473,"-15","-5","13","0","0","0","0","0","0","False"
Player State474,"-15","-5","13","0","0","0","0","0","0","False"
Player State475,"-15","-5","13","0","0","0","0","0","0","False"
Player State476,"-15","-5","13","0","0","0","0","0","0","False"
